ty_id,City,grants_and_incentives_1,grants_and_incentives_2,grants_and_incentives_3,grants_and_incentives_4,grants_and_incentives_5,grants_and_incentives_6,grants_and_incentives 6
atlanta_us,"Atlanta, GA",Invest Atlanta Small Business Grants,Georgia Job Tax Credit,Opportunity Zone Incentives,Minority Business Enterprise (MBE) Programs,Georgia Film & Creative Tax Credits,SBA 7(a) & 504 Loans,Workforce training grants (Georgia Quick Start)
houston_us,"Houston, TX",Texas Enterprise Zone Program,Workforce Skills Development Fund,Port of Houston Incentives,HUB Minority Business Certification,Energy & Cleantech Grants,No State Income Tax,No state income tax (structural incentive)
dallas_us,"Dallas, TX",Dallas Economic Development Grants,Texas Enterprise Fund,Property Tax Abatements,Opportunity Zone Incentives,SBA Loans & Export Support,Minority Procurement Programs,
charlotte_us,"Charlotte, NC",NC Job Development Investment Grant,One North Carolina Fund,City Small Business Grants,Fintech Accelerators,Workforce Tax Credits,SBA Loans,
raleigh_us,"Raleigh, NC",NC R&D Tax Credits,Research Triangle Startup Grants,University Commercialization Funding,Biotech Incentives,SBA Loans,—,
durham_us,"Durham, NC",Durham Small Business Grants,NC Innovation Grants,Duke University Startup Funding,Opportunity Zone Incentives,Minority Business Programs,—,
memphis_us,"Memphis, TN",Tennessee FastTrack Grants,Minority Business Grants,Opportunity Zone Incentives,Logistics Tax Credits,Philanthropic Redevelopment Grants,No State Income Tax,
washington_dc_us,"Washington, DC",DC Small Business Grants,Certified Business Enterprise Program,Local Procurement Set-Asides,Federal Contracting Access,SBA Loans,Nonprofit & Social Impact Grants,
silver_spring_us,"Silver Spring, MD",Maryland Small Business Grants,Montgomery County Business Grants,Biotech Incentives,Workforce Training Credits,Minority Business Certification,—,
hyattsville_us,"Hyattsville, MD",Prince George’s County Grants,Community Redevelopment Grants,Maryland SME Financing,Arts & Creative Economy Grants,—,—,
bowie_us,"Bowie, MD",Maryland SME Loans,Minority Business Certification,Workforce Development Incentives,State Procurement Programs,—,—,
alexandria_us,"Alexandria, VA",Virginia Workforce Training Grants,Business Ready Sites Program,Federal Contracting Incentives,Export Assistance,SBA Loans,—,
chicago_us,"Chicago, IL",Illinois EDGE Tax Credit,Small Business Improvement Fund,Minority & Women Business Grants,Workforce Training Grants,Opportunity Zones,Philanthropic Venture Funding,
detroit_us,"Detroit, MI",Motor City Match Grants,Michigan Business Development Program,Redevelopment Tax Credits,Mobility & EV Grants,National Philanthropic Funding,—,
columbus_us,"Columbus, OH",Ohio Job Creation Tax Credit,Ohio Third Frontier Grants,Smart City Innovation Funding,Minority Business Programs,—,—,
minneapolis_us,"Minneapolis, MN",Minnesota Innovation Grants,City Small Business Grants,Cooperative Development Funding,Minority Business Financing,Workforce Incentives,—,
st_louis_us,"St. Louis, MO",Missouri Works Program,Local Redevelopment Grants,Opportunity Zone Incentives,Philanthropic Startup Grants,—,—,
